order_date,customer_name,country,category,sub_category,sales,quantity,discount,profit,shipping_cost,year,revenue
10-01-2011,Elpida Rittenbach,Hungary,Furniture,Bookcases,363,1,0,159.87,134.59,2011,363
10-01-2011,Elpida Rittenbach,Hungary,Technology,Copiers,589,4,0,276.6,114.15,2011,589
10-01-2011,Sanjit Jacobs,Egypt,Furniture,Tables,968,2,0,445.26,80.13,2011,968
10-01-2011,Elpida Rittenbach,Hungary,Office Supplies,Paper,142,6,0,63.9,67.79,2011,142
10-01-2011,Elpida Rittenbach,Hungary,Office Supplies,Art,155,6,0,54.18,58.32,2011,155
10-01-2011,Elpida Rittenbach,Hungary,Technology,Machines,156,2,0,23.4,52.91,2011,156
10-01-2011,Tiffany House,Algeria,Office Supplies,Appliances,309,1,0,61.71,31.41,2011,309
10-01-2011,Jocasta Rupert,Venezuela,Technology,Copiers,425,3,0.402,-278.79024,26.72,2011,425
10-01-2011,Elpida Rittenbach,Hungary,Office Supplies,Paper,53,2,0,0,16.06,2011,53
10-01-2011,Greg Guthrie,United Kingdom,Office Supplies,Storage,206,3,0.5,-41.265,14.65,2011,206
10-01-2011,Elpida Rittenbach,Hungary,Office Supplies,Envelopes,42,1,0,1.65,13.08,2011,42
10-01-2011,Paul MacIntyre,Mexico,Office Supplies,Storage,114,3,0,56.88,8.93,2011,114
10-01-2011,Patrick O'Donnell,China,Office Supplies,Supplies,26,2,0,5.4,5.86,2011,26
10-01-2011,Dan Lawera,Australia,Office Supplies,Labels,30,4,0.1,12.096,5.54,2011,30
10-01-2011,Patrick O'Donnell,China,Office Supplies,Binders,34,3,0,16.11,5.26,2011,34
10-01-2011,Elpida Rittenbach,Hungary,Technology,Machines,37,1,0,5.55,4.32,2011,37
10-01-2011,Dan Lawera,Australia,Office Supplies,Paper,162,6,0.1,53.694,3.02,2011,162
10-01-2011,Elpida Rittenbach,Hungary,Office Supplies,Art,11,1,0,2.61,2.59,2011,11
10-01-2011,Elpida Rittenbach,Hungary,Office Supplies,Binders,11,1,0,2.4,2.03,2011,11
10-01-2011,Ricardo Sperren,South Africa,Office Supplies,Binders,17,1,0,4.65,1.29,2011,17
10-01-2011,Melanie Seite,United States,Technology,Accessories,31,3,0.2,9.75,1.13,2011,31
10-01-2011,Brian Dahlen,Thailand,Office Supplies,Fasteners,12,3,0.47,-5.6826,1.04,2011,12
10-01-2011,Paul MacIntyre,Mexico,Office Supplies,Supplies,16,1,0,1.76,0.89,2011,16
10-01-2011,Melanie Seite,United States,Office Supplies,Art,9,2,0.2,1.168,0.21,2011,9
11-01-2011,Roy Collins,United Kingdom,Furniture,Chairs,"1,384",3,0,13.77,178.98,2011,1384
11-01-2011,Philip Fox,Mexico,Office Supplies,Storage,"1,323",10,0,238,103.84,2011,1323
11-01-2011,Philip Fox,Mexico,Furniture,Bookcases,452,5,0.2,-107.3,57.75,2011,452
11-01-2011,David Flashing,Indonesia,Technology,Phones,554,4,0.17,40.0536,42.43,2011,554
11-01-2011,Steve Carroll,Philippines,Technology,Copiers,697,3,0.35,-343.098,40.16,2011,697
11-01-2011,Philip Fox,Mexico,Technology,Phones,245,5,0,88,39.11,2011,245
11-01-2011,David Flashing,Indonesia,Office Supplies,Art,334,9,0.27,13.4703,23.56,2011,334
11-01-2011,Dorothy Dickinson,Spain,Furniture,Tables,268,2,0.6,-341.736,21.49,2011,268
11-01-2011,Roy Collins,United Kingdom,Office Supplies,Art,103,2,0,19.5,20.54,2011,103
11-01-2011,David Flashing,Indonesia,Furniture,Furnishings,188,5,0.27,2.4735,15.77,2011,188
11-01-2011,Dianna Vittorini,India,Furniture,Furnishings,142,3,0,52.38,15.62,2011,142
11-01-2011,Chuck Sachs,Turkey,Furniture,Bookcases,157,2,0.6,-117.72,12.45,2011,157
11-01-2011,Tanja Norvell,New Zealand,Office Supplies,Envelopes,115,4,0.4,-47.832,10.52,2011,115
11-01-2011,Mick Brown,Austria,Office Supplies,Storage,97,2,0,31.02,7.99,2011,97
11-01-2011,Steve Carroll,Philippines,Furniture,Furnishings,78,2,0.25,23.775,7.09,2011,78
11-01-2011,Philip Fox,Mexico,Office Supplies,Appliances,140,3,0,32.1,6.47,2011,140
11-01-2011,Mick Brown,Austria,Office Supplies,Art,55,1,0,9.87,5.83,2011,55
11-01-2011,Anthony Jacobs,United States,Furniture,Furnishings,52,1,0,21.2954,3.52,2011,52
11-01-2011,Dorothy Dickinson,Spain,Office Supplies,Labels,40,5,0,5.55,2.57,2011,40
11-01-2011,Eric Murdock,Italy,Office Supplies,Binders,22,3,0,6.75,1.09,2011,22
11-01-2011,David Flashing,Indonesia,Office Supplies,Binders,5,1,0.17,-0.0147,0.3,2011,5
11-01-2011,Anthony Jacobs,United States,Office Supplies,Labels,3,1,0,1.3583,0.22,2011,3
12-01-2011,Thomas Seio,Mexico,Technology,Accessories,495,3,0,178.2,54.55,2011,495
12-01-2011,Thomas Seio,Mexico,Technology,Copiers,385,3,0.002,68.64852,38.19,2011,385
12-01-2011,Roy Phan,Germany,Furniture,Bookcases,552,5,0.1,165.36,35.98,2011,552
12-01-2011,Roy Phan,Germany,Technology,Machines,522,2,0,20.88,28.92,2011,522
12-01-2011,Anthony Garverick,United Kingdom,Furniture,Chairs,290,5,0,69.6,18.63,2011,290
12-01-2011,Peter Bühler,United Kingdom,Office Supplies,Paper,34,2,0.5,-6.15,7.31,2011,34
12-01-2011,Roy Phan,Germany,Office Supplies,Art,257,5,0,48.75,7.28,2011,257
12-01-2011,Seth Vernon,United States,Furniture,Furnishings,10,2,0,3.0814,2.69,2011,10
12-01-2011,Roy Phan,Germany,Office Supplies,Binders,17,2,0,6.18,2.08,2011,17
12-01-2011,Shaun Chance,Nigeria,Office Supplies,Storage,15,2,0.7,-22.458,1.27,2011,15
12-01-2011,Shaun Chance,Nigeria,Office Supplies,Art,16,1,0.7,-28.518,1.27,2011,16
12-01-2011,Shaun Chance,Nigeria,Office Supplies,Labels,13,4,0.7,-21.648,0.62,2011,13
12-01-2011,Shaun Chance,Nigeria,Office Supplies,Supplies,5,1,0.7,-10.326,0.43,2011,5
12-01-2011,Shaun Chance,Nigeria,Office Supplies,Fasteners,3,1,0.7,-6.483,0.25,2011,3
12-01-2011,Shaun Chance,Nigeria,Office Supplies,Storage,17,1,0.7,-26.649,0.24,2011,17
13-01-2011,Roger Demir,Egypt,Office Supplies,Storage,794,4,0,134.88,76.6,2011,794
13-01-2011,Roger Demir,Egypt,Technology,Copiers,"1,200",4,0,479.88,55.62,2011,1200
13-01-2011,Ben Wallace,Mexico,Technology,Machines,201,1,0,100.62,31.78,2011,201
13-01-2011,Greg Matthias,Netherlands,Office Supplies,Storage,198,2,0.5,-130.98,14.53,2011,198
13-01-2011,Roger Demir,Egypt,Office Supplies,Storage,38,2,0,17.22,2.66,2011,38
13-01-2011,James Lanier,Venezuela,Office Supplies,Supplies,26,5,0.4,-8,2.2,2011,26
13-01-2011,Stuart Calhoun,Sweden,Office Supplies,Art,31,5,0.5,-13.65,2.16,2011,31
13-01-2011,Greg Matthias,Netherlands,Office Supplies,Paper,50,2,0.5,-37.86,1.51,2011,50
13-01-2011,Greg Matthias,Netherlands,Office Supplies,Labels,22,4,0.5,-12.3,1.29,2011,22
13-01-2011,Cari Sayre,Australia,Office Supplies,Labels,16,2,0.1,0.33,0.72,2011,16
13-01-2011,Greg Matthias,Netherlands,Office Supplies,Binders,9,3,0.5,-3.465,0.43,2011,9
14-01-2011,Brian Dahlen,United States,Office Supplies,Storage,"1,326",5,0,238.653,187.65,2011,1326
14-01-2011,Chris Selesnick,United States,Office Supplies,Storage,573,6,0,34.3548,146.29,2011,573
14-01-2011,Chris Selesnick,United States,Technology,Accessories,647,6,0,258.696,141.35,2011,647
14-01-2011,Sharelle Roach,Austria,Technology,Machines,486,3,0,77.67,53.02,2011,486
14-01-2011,Natalie DeCherney,United States,Furniture,Chairs,546,6,0,87.3504,52.32,2011,546
14-01-2011,Sharelle Roach,Austria,Technology,Phones,440,6,0,65.88,49.92,2011,440
14-01-2011,Brian Dahlen,United States,Furniture,Bookcases,334,3,0.15,3.9294,40.44,2011,334
14-01-2011,Sharelle Roach,Austria,Office Supplies,Paper,224,11,0,102.96,30.34,2011,224
14-01-2011,Bart Pistole,Nicaragua,Furniture,Bookcases,393,3,0,180.96,27.67,2011,393
14-01-2011,Ted Butterfield,Mexico,Office Supplies,Envelopes,106,4,0,18.96,26.23,2011,106
14-01-2011,Steve Nguyen,South Africa,Office Supplies,Art,136,12,0,31.32,23.89,2011,136
14-01-2011,Chris Selesnick,United States,Office Supplies,Envelopes,51,3,0,25.47,12.66,2011,51
14-01-2011,Bart Pistole,Nicaragua,Office Supplies,Paper,246,12,0,7.2,11.88,2011,246
14-01-2011,Bruce Degenhardt,Turkey,Office Supplies,Storage,110,2,0.6,-54.972,11.53,2011,110
14-01-2011,Muhammed Yedwab,Philippines,Furniture,Furnishings,99,3,0.25,-23.7375,9.71,2011,99
14-01-2011,Muhammed Yedwab,Philippines,Office Supplies,Storage,80,3,0.45,5.742,9.43,2011,80
14-01-2011,Bart Pistole,Nicaragua,Office Supplies,Storage,109,3,0,28.38,6.11,2011,109
14-01-2011,Bruce Degenhardt,Turkey,Office Supplies,Storage,79,1,0.6,-85.332,5.84,2011,79
14-01-2011,Bruce Degenhardt,Turkey,Office Supplies,Supplies,74,4,0.6,-70.32,4.48,2011,74
14-01-2011,Bart Pistole,Nicaragua,Office Supplies,Binders,66,8,0,9.12,3.61,2011,66
14-01-2011,Brian Dahlen,United States,Office Supplies,Art,20,5,0,6.567,3.03,2011,20
14-01-2011,Chris Selesnick,United States,Office Supplies,Envelopes,11,2,0,5.3392,2.88,2011,11
14-01-2011,Michael Moore,United States,Office Supplies,Paper,37,7,0.2,13.0928,1.46,2011,37
14-01-2011,Chris Selesnick,United States,Office Supplies,Binders,6,3,0,2.7072,0.85,2011,6
14-01-2011,Bruce Degenhardt,Turkey,Office Supplies,Art,79,4,0.6,-87.168,0.43,2011,79
14-01-2011,Michael Moore,United States,Office Supplies,Binders,3,2,0.7,-2.5212,0.27,2011,3
15-01-2011,Don Jones,Germany,Technology,Copiers,527,2,0,10.5,92.1,2011,527
15-01-2011,Craig Leslie,France,Furniture,Bookcases,652,2,0.1,7.2,88.52,2011,652
15-01-2011,Ross Baird,Dominican Republic,Furniture,Chairs,265,3,0.2,23.22,43.56,2011,265
15-01-2011,Mick Crebagga,Indonesia,Office Supplies,Art,150,4,0.27,-49.3488,21.15,2011,150
15-01-2011,Mick Crebagga,Indonesia,Office Supplies,Art,51,3,0.27,-0.0126,21.13,2011,51
15-01-2011,Don Jones,Germany,Office Supplies,Appliances,249,1,0.1,2.76,15.08,2011,249
15-01-2011,Brendan Sweed,United States,Furniture,Bookcases,62,4,0.5,-53.2856,10.96,2011,62
15-01-2011,Don Jones,Germany,Office Supplies,Paper,170,5,0,25.35,8.42,2011,170
15-01-2011,Don Jones,Germany,Office Supplies,Supplies,55,2,0,2.16,4.12,2011,55
15-01-2011,Mick Brown,Nigeria,Furniture,Chairs,45,1,0.7,-56.856,3.43,2011,45
15-01-2011,Mick Brown,Nigeria,Office Supplies,Fasteners,19,6,0.7,-38.898,1.46,2011,19
15-01-2011,Mick Brown,Nigeria,Office Supplies,Art,15,2,0.7,-14.754,1.02,2011,15
15-01-2011,Don Jones,Germany,Office Supplies,Labels,21,2,0,7.44,0.76,2011,21
16-01-2011,Erica Hackney,United States,Technology,Accessories,150,5,0,65.978,45.24,2011,150
17-01-2011,Alan Haines,El Salvador,Technology,Copiers,"1,412",11,0.002,251.71124,159.52,2011,1412
17-01-2011,Edward Hooks,France,Office Supplies,Art,300,11,0,50.82,38.7,2011,300
17-01-2011,Delfina Latchford,United States,Furniture,Furnishings,127,6,0.2,28.5984,36.4,2011,127
17-01-2011,Delfina Latchford,United States,Technology,Phones,124,3,0.4,-31.05,26.12,2011,124
17-01-2011,Delfina Latchford,United States,Office Supplies,Labels,30,3,0.2,10.1493,10.17,2011,30
17-01-2011,Edward Hooks,France,Office Supplies,Storage,84,5,0.1,33.675,7.33,2011,84
17-01-2011,Edward Hooks,France,Office Supplies,Storage,95,4,0.1,42.24,6.56,2011,95
17-01-2011,Edward Hooks,France,Office Supplies,Storage,46,3,0.1,18.846,6.46,2011,46
17-01-2011,Vivian Mathis,Australia,Office Supplies,Binders,37,4,0.4,-9.288,5.48,2011,37
17-01-2011,Delfina Latchford,United States,Office Supplies,Binders,19,2,0.7,-13.6312,5.26,2011,19
17-01-2011,Tamara Willingham,Australia,Office Supplies,Art,19,2,0.1,5.136,3.96,2011,19
17-01-2011,Shirley Daniels,Denmark,Office Supplies,Labels,17,3,0.5,-7.515,0.4,2011,17
18-01-2011,Charles Sheldon,Tanzania,Office Supplies,Storage,746,4,0.1,132.588,132.29,2011,746
18-01-2011,Michael Dominguez,Spain,Office Supplies,Fasteners,108,8,0,33.36,18.36,2011,108
18-01-2011,Vivek Gonzalez,Brazil,Office Supplies,Fasteners,38,3,0,6.12,4.7,2011,38
18-01-2011,Richard Bierner,Denmark,Office Supplies,Binders,26,1,0.5,-10.755,2.53,2011,26
18-01-2011,Beth Paige,Saudi Arabia,Office Supplies,Binders,14,1,0,2.97,2.48,2011,14
19-01-2011,Patrick Gardner,Zambia,Office Supplies,Art,418,14,0,95.76,143.67,2011,418
19-01-2011,Matt Abelman,Italy,Office Supplies,Binders,145,3,0,43.56,58.25,2011,145
19-01-2011,Aleksandra Gannaway,Nicaragua,Technology,Machines,716,4,0,221.92,36.29,2011,716
19-01-2011,Aleksandra Gannaway,Nicaragua,Furniture,Bookcases,226,2,0,33.96,25.81,2011,226
19-01-2011,Pauline Webber,Myanmar (Burma),Technology,Copiers,278,3,0.37,-106.083,21.22,2011,278
19-01-2011,Matt Abelman,Italy,Office Supplies,Storage,48,3,0.4,7.92,15.23,2011,48
19-01-2011,Patrick Gardner,Zambia,Technology,Accessories,41,1,0,6.12,12.68,2011,41
19-01-2011,David Wiener,United States,Office Supplies,Appliances,65,4,0.2,6.4864,5.04,2011,65
19-01-2011,Aleksandra Gannaway,Nicaragua,Technology,Accessories,53,2,0,16.32,4.1,2011,53
19-01-2011,Ann Blume,Italy,Office Supplies,Envelopes,48,3,0,21.24,3.54,2011,48
19-01-2011,Michael Kennedy,Canada,Office Supplies,Fasteners,16,1,0,5.7,1.4,2011,16
20-01-2011,Michelle Arnett,Angola,Furniture,Bookcases,825,2,0,338.34,88.97,2011,825
20-01-2011,Suzanne McNair,Mexico,Office Supplies,Appliances,372,2,0,81.88,82.67,2011,372
20-01-2011,Toby Swindell,United States,Furniture,Bookcases,181,5,0.7,-320.597,29.68,2011,181
20-01-2011,Irene Maddox,Iran,Furniture,Chairs,141,1,0,57.75,20.93,2011,141
20-01-2011,Alejandro Ballentine,Mexico,Furniture,Bookcases,196,1,0.2,-34.252,17.08,2011,196
20-01-2011,Toby Swindell,United States,Office Supplies,Paper,56,4,0.2,19.6224,14.49,2011,56
20-01-2011,Michelle Arnett,Angola,Office Supplies,Storage,49,1,0,15.51,11.64,2011,49
20-01-2011,Toby Swindell,United States,Office Supplies,Envelopes,109,5,0.2,36.693,10.39,2011,109
20-01-2011,Darren Koutras,France,Office Supplies,Art,58,2,0,7.56,8.77,2011,58
20-01-2011,Michelle Arnett,Angola,Office Supplies,Storage,48,1,0,15.84,7.92,2011,48
20-01-2011,Randy Bradley,Nigeria,Office Supplies,Paper,37,4,0.7,-73.68,6.08,2011,37
20-01-2011,Toby Swindell,United States,Office Supplies,Binders,32,10,0.7,-23.716,6.03,2011,32
20-01-2011,Randy Bradley,Nigeria,Office Supplies,Storage,24,4,0.7,-42.624,3.74,2011,24
20-01-2011,Ruben Dartt,Russia,Office Supplies,Labels,10,1,0,4.83,2.05,2011,10
20-01-2011,Ruben Dartt,Russia,Office Supplies,Labels,11,1,0,4.08,1.48,2011,11
20-01-2011,Toby Ritter,Australia,Furniture,Furnishings,139,3,0.1,27.693,1.23,2011,139
21-01-2011,Hunter Lopez,Nicaragua,Furniture,Tables,"2,797",6,0.2,-0.072,320.38,2011,2797
21-01-2011,Sally Hughsby,Mongolia,Office Supplies,Storage,"1,244",6,0,211.5,88.66,2011,1244
21-01-2011,Hunter Lopez,United States,Furniture,Chairs,"1,068",3,0,224.2674,85.72,2011,1068
21-01-2011,Hunter Lopez,United States,Technology,Phones,700,7,0,181.9818,31.52,2011,700
21-01-2011,Hunter Lopez,Nicaragua,Technology,Phones,405,4,0,121.44,26.73,2011,405
21-01-2011,Sally Hughsby,Mongolia,Furniture,Chairs,277,2,0,55.38,24.75,2011,277
21-01-2011,Xylona Preis,United States,Furniture,Furnishings,273,3,0,30.0234,20.68,2011,273
21-01-2011,Hunter Lopez,Nicaragua,Technology,Phones,182,2,0,16.4,19.1,2011,182
21-01-2011,Ryan Crowe,Germany,Technology,Accessories,495,2,0,232.8,18.43,2011,495
21-01-2011,Xylona Preis,United States,Office Supplies,Appliances,248,4,0.1,93.5816,14.53,2011,248
21-01-2011,Hunter Lopez,Nicaragua,Office Supplies,Supplies,107,5,0,46.1,8.92,2011,107
21-01-2011,Xylona Preis,United States,Office Supplies,Storage,67,2,0,15.9792,8.4,2011,67
